rating,text,title,user/userLocation/name,user/userLocation/shortName,user/username,publishedDate
5,"I had a baked potato with Mexican beef. The meat was really good and spicy with lots of red peppers. I like spicy food so this dish satisfied my taste buds. 
The restaurant has a cool bar with vintage looking furniture. It was a nice and cozy atmosphere in the restaurant. I had a pleasant evening.",Yummy baked potato,"Gdansk, Poland",Gdansk,foodsandfeelings,2024-07-10
1,"The staff sees the customer but doesn't serve him 👎 the waitresses don't understand and ignore... there wasn't much traffic, let alone in the season... I DO NOT RECOMMEND.",NO SERVICE,,,karelak2024,2024-07-09
5,The restaurant had been recommended to us and not without reason. The potato portion was tasty and big. I definitely recommend giving it a try.,Excellent,,,Passenger46472442033,2024-06-14
4,"You'd imagine a resturant based around the humble baked potato would be somewhat limited. Far from it.
The variety of fillings and sauces is enough to stimulate anyones tastebuds.
All 4 of us agreed these were the best baked/jacket potatos we'd ever tasted!
Add to that the beer and wine and really friendly service and you've got the perfect place for lunch when walking around old Gdańsk.
The locals don't seem to eat the potato skin. For me the crisp skin is the best bit, with all the goodness and the roughage! I think the staff must have thought we were either very hungry or heathens (or both!)",Baked potato heaven,"Alice Springs, Australia",Alice Springs,gwynw2017,2024-03-15
5,"Delicious potato cake with cheese and bacon. Served with lots of raw food salad. Delicious dinner, and lots of food. Good with warm beer with spices in it.",Good meal,"Skodje, Norway",Skodje,dibha,2024-01-21
5,Very good bar with excellent Patatoes and good coffee. I will be there again. Is in the middle of Danzica. The waitresses very kind,Good coffe and pataoes,,,ludovico182,2024-01-15
5,"A great discovery. A warm welcome and good, basic but delicious dishes. The place is cold from the outside, it's hard to get in, but once inside you feel very good. Thank you to the nice young waitresses, very nice.. I recommend for a visit to Gdansk.",To visit absolutely,"Bouchain, France",Bouchain,devilou69,2024-01-14
5,"An excellent bar in the heart of Old Gdańsk! The decor and atmosphere match the place. Traditional, natural and delicious food. Baked potatoes with stuffing and potato pancake with toppings are finger-licking good! Very friendly service. The owner who welcomes his guests creates a nice, homely atmosphere in the premises. A place you want to come back to! We highly recommend it!",We highly recommend it!,,,ewakN5530BU,2024-01-05
5,Was there for the second time today and it was great again! Great food & equally good service. Will definitely be another visit during the trip.,Top class!,,,hultis70,2023-12-27
4,"Together with some friends.
After a long day it was the best place to eat and recharge, the waitress was very kind to explain the dishes and sauces to us.
I will definitely be back!!",Optimal!,"Pisa, Italy",Pisa,GrandTour68642038835,2023-12-17
5,"Unbelievably good food, great staff who are really nice and helpful, good prices, a lot of food for the money!😍 highly recommend!",Highly recommend!,,,986salamd,2023-11-25
5,Great place for lunch . Cosy friendly restaurant and the jacket potatoes were huge with so many options ! So filling . Would recommend,Huge jackets potatoes will fill you up !,"Colchester, United Kingdom",Colchester,Claire33m,2023-11-18
5,We found this place from Tripadviser.This restaurant is in the old town.Very interesting meniu - boiled potatoes with various fillings.,Good place,"Kedainiai, Lithuania",Kedainiai,drieziukeee,2023-08-15
5,Fantastic food! The best thing I ate during my 5 day stay! Really recommended!!!! The service was absent but the food was so good that it made up for the lack of interest from the waiter.,The world's best baked potato?,,,ingerjohannes333,2023-07-23
5,Wow best thing Ive eaten in a long time. Ive had the Oli potato with chicken it was soo tasty and filling I couldnt finish it all. My parner had the Hungarian suasage potato and said it was delcious too. Really recommend this place. The staff is super friendly too. Thank you for this experienece!,Just wow,,,588klaudiab,2023-07-08
2,The food was very nicely prepared and tasty. The price is okay. Just the waiting time of more than 1 hour! Was neither on the menu nor was it communicated when ordering. There are baked potatoes with various side dishes!,Long wait!,,,247ingridw,2023-07-05
3,"The prices are shocking for ordinary potatoes, but the portions are solid. I especially recommend potato pancakes with various sauces to choose from + salads. The portion is huge and everyone will be full. ","Quite expensive for potatoes, but at least the portions are large ",World,World,jelly_7777777,2023-07-02
2,"Good location. We ordered a beer to start, chose dishes from the menu and a bottle of wine for the main course.
There was only one waitress on site and she could barely keep up with 8-9 tables occupied. We realized that it would not be quick and efficient. The food was delicious. In the meantime, we signaled to the waitress that we were waiting for a bottle of wine. When we finished our dishes, another waitress (bartender) came over with glasses of wine. We were amazed that poured glasses were brought to our table. We politely explained to the lady that if you order a bottle of wine, the server should bring the bottle to the table and I should open it in front of everyone. The bartender didn't even apologize and said that...that's how they serve it..., turned around and left. Unfortunately, she didn't bring the bottle as we ordered and she was probably offended at us. In such circumstances, we asked the waitress for the bill and politely explained to the waitress that we were disappointed with this circumstance.",Very poor service,"Lublin, Poland",Lublin,piotrLublin,2023-06-16
5,"Once again, never fails ! Propably 5th time eating here ...Owen potatoes with stuffs were excellent !",Good  cheap for owenpotato lovers !,"Mantsala, Finland",Mantsala,852hannu55,2023-05-14
5,"Very tasty and beautiful! I haven't eaten anything like this before.
It was very tasty.  Great food!
Przepyszne danie, nigdy nie jadłam česky takiego. ",Super tasty!,,,R8725GH_,2023-05-05
1,"We went here to try the famous potatoes. Once there, they said they had everything except potatoes. The whole menu was basically just potatoes. So we went

 ",No potatoes at this place,"Uppsala, Sweden",Uppsala,141joakimb,2023-04-07
5,"Delicious stuffed potatoes. Huge portions and selection :)
Perfect mulled beer

A place worth visiting during your stay in Gdańsk",Perfect potatoes,"Grojec, Poland",Grojec,em_lka,2023-03-28
5,"Delicious food, we tried potatoes in different versions and each of them was delicious! A big advantage is the ability to mix two stuffings in one portion :) I recommend it!!",Excellent food,,,339kasiad,2023-02-07
5,"Very large potato, very tasty. Nice service and clean toilets.  Something for everyone and very cheap per serving. ",Eat deliciously,,,frucht,2022-12-29
5,"So glad we stumbled across this place, it was great. We both had filled jacket potato’s, mine had creamy mushrooms and my partner had a tomato and sausage casserole. Both were very tasty and warmed us up well! It had a great atmosphere, friendly service and good beer. Highly recommend!",Perfect winter warmer 🥔🥔,"Newcastle upon Tyne, United Kingdom",Newcastle upon Tyne,Adventure65837411012,2022-12-01
5,"Great food - you must try their stuffed baked potatoes ❤️ They. Absolutely fantastic. The service was good!  Reassy ""a must to wisit""  when you are in 🇵🇱 Gdansk ",This resturant offers great food. you must try their stuffed baked potatoes. The taste absolutely fantastic.,,,eriksT7370MG,2022-10-13
5,"Nice restaurant with a rustic look. The potato is the size of a soup bowl. 
I had one with chicken, it was very tasty and filling.  ",Delicious,,,frucht,2022-10-10
4,"We went there when the place was pretty much full, but waited only 25 minutes for our food which was very tasty.",best baked potatoes,"Wroclaw, Poland",Wroclaw,968nataszak,2022-09-20
5,"Delicious food, fast, efficient and friendly service, very reasonable prices, a big plus for being pet-friendly (you can even enter the premises with your dog)",Pride,,,mikil854,2022-09-12
5,"Still the best potatoes! After two years, I returned to this place and I am still delighted. The prices have gone up, but it hasn't affected the quality or portion size. Very nice service. There are no places in the place upstairs, but the lady suggested going down to the basement - great! Very nice waiter :) I recommend it!",Still the best!,"Wroclaw, Poland",Wroclaw,martynao664,2022-09-10
4,"Small place on Via Piwna in the historic center with a particular menu made of potatoes stuffed with all kinds of food.
Average price.
Advised ",Special menu...,"Avellino, Italy",Avellino,CirPic,2022-08-29
5,"An atmospheric place, perfect for dinner with the whole family or friends. Everything is delicious. The chefs are not afraid of spices and have brilliant taste - amazing dishes👌
A place worth recommending for a large party and more, everything from A to Z was prepared perfectly and well presented, really tasty, atmospheric, very agile and nice service.
I highly recommend it, we will go back there many times 😊",Meeting,,,annacU8067GF,2022-08-01
5,"I came here for the first time 3 months ago on a recommendation and I do NOT regret it, the food is delicious. Quickly served drinks and food. The service is wonderful, I have never experienced anything like it before. I HIGHLY RECOMMEND",The opinion,"Gdansk, Poland",Gdansk,aleksandrasQ8790YC,2022-08-01
5,"I highly recommend it, I come here regularly and I haven't been disappointed yet. I will be happy to come here again!! ❤️",Great service and very good food!!😍,,,356nataszam,2022-08-01
5,"Despite heavy traffic, service at a high level.  I came here on recommendation a few years ago and I still visit every season. I have never been disappointed!",The opinion,,,B2246ITjustynap,2022-08-01
1,"Terrible! Only potatoes, with horrible salsa , for 45 PLN !!! Expensive and poor menu, very bad service, we were 10 pax and waited 1,5h and they brought 1 dish and rest of party had to wait... Please  avoid","Terrible! Only potatoes, with horrible salsa , for 45 PLN !!! Expensive and poor menu, very bad service, we were 10 pax",,,AnitaS3003,2022-07-31
5,"Delicious and at very affordable prices. From beer to the company's baked potato. After a whole day of exploring Gdańsk's Old Town, a perfect place to replenish calories and fluids :)","Supposedly a fish, but a potato",,,madziaz2018,2022-07-19
4,"It's worth visiting, the portions are large, good and filling. An unusual proposition for potatoes, you must try it. The potato pancakes could have been browner",Good place,"Warsaw, Poland",Warsaw,bbxc,2022-07-17
4,"Delicious potato pancakes with bacon, cheese Gorgonzola sauce or with mushrooms...5 people, including drinks for €65. Super! Nice atmosphere ",Delicious potato pancakes,,,ankea2019,2022-04-08
5,"Ok, so they pretty much just sell potatoes, but they know what to do with them!
Having spent a week trying to eat decent vegan/veggie food in Gdansk, we tried this place and were so pleased we did.
Very friendly staff and really tasty, filling food.",Hidden jacket potato gem!,"London, United Kingdom",London,shoeysarah,2022-03-31
3,Nice enough when we came in but as the place filled up the waitress was not as polite as earlier other than that it was fine probably under pressure with 20 people in here?????,A few quiet drinks,Ireland,Ireland,Andolino60,2022-03-16
4,Cozy Castro pub with good tableware 🤩 Several dishes to choose from. Intimate atmosphere. Access to outdoor tables during the summer season. Today's soup was lovely.,Recommended - Fantastic soup of the day,Norway,Norway,W5261FXlouiseg,2022-02-16
5,"Very tasty, excellent potatoes with different fillings. This is not the first time we have eaten at this place, it is always tasty and satisfying. Good selection of toppings for every taste.",Delicious potatoes with fillings and a choice for every taste. In the evening it is better to book a column or you will have to wait.,,,iVictory,2022-02-14
4,Basically the menu is based on the potato.   In the Old Town this was a wonderful place for lunch on a cold snowy day.  The atmosphere is warm and friendly as is the service.  While cozy its not fancy.   I had a large bacon and cheese potato with a couple of dark beers while sitting at a window seat watching the snow out on the street.   Nice place for lunch and probably calories.,Neat,,,Dorkon22,2022-01-05
5,Really good and reasonably priced place that is centrally located. The house specialty in the form of baked potatoes is highly recommended,Wonderful baked potato,"Stockholm, Sweden",Stockholm,NimaJ_SWE,2021-10-23
5,Very tasty food and a very nice place in a small street in the middle of Gdańsk old town. The people are very friendly and helpful in guiding you through the menu card . I enjoyed the stay at this restaurant and the food !,Yummm:-),"Hamburg, Germany",Hamburg,emilc610,2021-10-05
5,"Very tasty food, nice service. Everything was served quickly and warm. I recommend it to everyone who wants to try something different than just fish by the sea :)",I recommend,"Dabrowa Gornicza, Poland",Dabrowa Gornicza,edyglodz,2021-10-03
4,"Overall it was not bad. The staff is very restaurant-like. After the rain, the seats were practically occupied. Despite this, we found places by agreeing with the visitors. 
I ordered potatoes with filler and like in Kroshka-Kartoshka. It was tasty and appetizing. 
I was confused by the lack of bread (national habit) and the long cooking time (40 minutes)",Kroshka-Kartoshka in terms of service,"Yekaterinburg, Russia",Yekaterinburg,m_k_e2014,2021-09-14
4,"Very tasty potatos. Especially tasty are ones with mushroom. Also good ones are with ""bryndza"" (white cheese) and bacon. Though I am not a bacon fan - I do reccomend it. Will come back surely...",All about potatos... But still work a taste,Poland,Poland,jozwiak11,2021-06-25
5,"Delicious food, large portions, very nice service. For a small price you can eat your fill. I especially recommend it. We will also visit this place next time.",Delicious food in the city center,"Poznan, Poland",Poznan,TRpodroznik,2021-05-15
4,"A nice place for potato lovers :) Delicious potatoes with various fillings - be warned, the dish is very filling. The service was very nice and cordial. I definitely recommend it.",The many faces of the potato,,,22kingab,2020-10-09
5,"Solid portions, suitable for really huge hunger! The dishes are very well seasoned, interesting compositions, a large selection (it's hard to decide) 😉. Nice service, everything well organized. ",Delicious and delicious!,,,683karolinaj,2020-09-28
5,"Located in the old town of Gdansk, this restaurant offers numerous potato-related dishes. Very friendly and attentive service. We had potato pancakes and baked potatoes, each with mushrooms. The portions are plentiful. It was delicious. Unreservedly recommended.",Perfect for potato lovers,"Hofheim am Taunus, Germany",Hofheim am Taunus,raschoenheit,2020-09-24
5,"Definitely recommend!! For me, the best restaurant from the whole week trip in Poland! The potatoes were delicious and the portions were decent.",You can't miss,"Pardubice, Czech Republic",Pardubice,bromexos,2020-09-15
5,We ordered a potato stuffed with chicken and the other one was stuffed with salmon and it was DELICIOUS! The waiting time was supposed to be 0.5 hour but it was probably 15 minutes which was a plus! We will definitely come back :),Delicious,"Gdansk, Poland",Gdansk,palxlalx,2020-08-26
5,"The specialty is baked potatoes, and rightly so. Potato with chanterelle sauce is very good, large portions, price adequate to the quality. The service was a bit lost, I justify it due to the crowd in the restaurant, plus for the garden :)",Tasty,,,weronikat399,2020-08-24
5,"Attractive place, tasty food... delicious potatoes with additions (crayfish and fish), cold local beer... All this at a reasonable price, which is not so obvious in this location ",Tasty food in a top location,"Bukhara, Uzbekistan",Bukhara,864piotrA,2020-08-18
5,"This popular restaurant with history offers an original culinary concept - baked potatoes with various toppings. Not expensive, tasty and satisfying. Central location. These 4 factors help the restaurant to be almost always filled with visitors. We took pea soup (12 zl.) and soup of the day - zurek (16 zl., huge portion, can be divided into 2 people), potatoes with chicken and sauce like aglioli (28 zl.), potatoes with pork and stewed cabbage like Shukrut (28 zl.). 2 main courses even turned out to be too much for 3, so plan on your strength. We drank simply excellent apple cider (10 zl for 0.5 l). Total: 115 zl. for 3. I recommend it.",Original concept,"Moscow, Russia",Moscow,440nikitab,2020-08-18
1,"Great location and this is the only advantage of this place. According to the staff, the restaurant under the fish has NOTHING in common with FISH itself. Below is a ""fish soup"" in which there is actually no fish, but you can see many interesting finds, such as potential leftovers of the main course. I don't really recommend it 😞",Mistake,,,T4104JBaleksandrab,2020-08-11
2,"The ride was correct but the service is hopeless. The waiter didn't even remember my order, which further extended the waiting time",You're going was correct but,"Warsaw, Poland",Warsaw,S8898CVdanielw,2020-08-10
5,"Great staff, very accommodating and friendly. Food very tasty and a huge selection at low prices. 😋😋😋",Highly recommended,,,kimhille,2020-08-05
3,"Fish soup as if someone had never cooked it before... with only potatoes and the remains of salmon, unfortunately very weak... potatoes were good, portions were large, but the sauce was hot with lettuce that wilted from the heat. XD The sauce was really good, we didn't have to wait long and the service was great. nice. However, there is no reason to go back there just to eat the sauce :) ",Too much selection and therefore poor quality,"Bedzin, Poland",Bedzin,ankad2018,2020-08-05
5,"The food was great! A huge selection on the menu, from potatoes with meat, fish to just vegetables. Everything was fresh, the garlic sauce was delicious! The serving itself makes a really great impression :) the service is very nice, fast and polite :) we wish the new waitress a lot of success, despite the stress that was yesterday, you coped great :) we keep our fingers crossed :)",Tasty and original,,,JustynaT60,2020-07-25
2,"The food is good, the location is also good, but... I don't know why, but we were completely ignored by the staff, we waited for a long time before anyone even approached us, for half an hour, waiters were flying left and right, but no one saw us. Okay. The lady finally came and took the order, we waited, after half an hour the gentleman took the order again, we waited, after half an hour it was finally here. Hooray. Very good, I can't say anything. In total, we spent about an hour and a half (1.5 hours) there, but it's there! We have eaten, please check the bill. They bring it, we pay, we leave, but suddenly something dawns on us that the bill is too much (there was no tipping for such a terrible attitude towards the customer). Fortunately, we have the bill, we look in, no, it's not our order. I come back with a complaint, the staff looks at me like I'm an idiot, they give me over PLN 70 from the cash register (it was too much), bye, we're leaving. We are really calm people, but this was too much. Therefore, be careful with your bills, especially, because there is something wrong with them. I couldn't believe what was happening, no one had ever ignored me or tried to cheat me like today! It's a pity because the food was really good, but is it worth going back there? I don't know. I usually don't write about opinions, but this was an exaggeration and it is necessary to write about this fact, that this is also what happens there.",The food was very good but......the service was terrible and the bills were not your order!,,,489avee,2020-07-24
5,"The best potatoes cakes with chanterelle sauce I ever ate :) I came here always when I visit Gdańsk and dishes are taste and fresh. Style of the bar is interesting, tables are wooden but inside on the walls are PRL style and this is very nice.  Great big ice cream with fruits dessert :)",Fantastic potato cakes with chanterelle sauce :),,,dominikaspojda,2020-07-17
5,"Very tasty  and filing. Can choose from variety of ingridientsand sauses in order to make your ""perfect potate"". Beer was really good and the waitress was very nice.","Delicious, great idea how to serve potates in such an attractive way","Warsaw, Poland",Warsaw,RosanaKonciute,2020-07-06
4,"A large selection of potato stuffings. Huge portions. Additionally increased with lettuce and carrots. We had four different flavors and each was very good: with tuna, with chicken, with sausage and with vegetables. We couldn't eat some of it, but we got a free takeaway box. One portion is enough for two people. Well, unless someone likes to eat :)",Gigantic portions,"Olsztyn, Poland",Olsztyn,K9051FHrobertk,2020-07-06
5,"The restaurant's specialty is potato, but not just any potato, it's stuffed. Stuffed in a million ways. The potato is big and delicious. I recommend it and I recommend it again because it is delicious and not expensive!!! 

The restaurant's specialty is potato, but not just any stuffed. Stuffed in a million ways. The potato is big and delicious. I recommend, recommend and once again, because it is delicious and not expensive!!!
 
",Interesting restaurant!!! interesting restaurant!!!,"Rzeszow, Poland",Rzeszow,tomaszt664,2020-07-06
5,Delicious large potatoes served with various additions. A restaurant for everyone. A sensation at a price adequate to the portion.,Delicious large potatoes,,,adamthumper,2020-06-15
2,"The title Fish and chips ordered had little to do with real fish and chips. Cold fries, fish without a crispy coating. Lemon slices were served instead of quarters to prevent squeezing. The fish was served with terrible salad.
On the plus side: very good cider",Fish and chips,,,miodzikmiodzik,2020-06-14
5,"I recommend it to everyone! The portions are huge and, as someone mentioned a few reviews below, deadly for one person. 
Waiting time is 5-15 minutes. We chose two potatoes with gzik (PLN 22) and once with Białowieża chanterelles (PLN 24). Even a very picky child liked the potatoes, which must mean that they are delicious. 
The service was also a plus. Very helpful, nice and polite. ",Giant potatoes!,"Wroclaw, Poland",Wroclaw,martynao664,2020-06-10
5,"We went here for dinner because the restaurant was listed in the guidebook. We weren't disappointed. It offers a super cozy atmosphere, friendly service and a huge selection of baked potatoes with a variety of fillings. A real treat if you like potatoes! We chose the Mexican and the chicken and vegetable filling. That was really, really tasty and we can only recommend it!! The portions are large and definitely sufficient. We'd love to come back!",Recommended for potato lovers!!!,"Dresden, Germany",Dresden,annareh,2020-02-25
4,"Recommended by the backpacker's guide. Wall decoration of bottles, paintings, trinkets... a few tables, benches and comfortable seats. Smiling waitresses Here everything revolves around the oven-roasted potato. Large choice of accompaniments. For dessert lovers, refrain because there are only 2 choices, ice cream or pancakes. For one person you can get away with around 35 zl with 50 cl of beer. ",Potato story!,,,145chrystelleb,2020-02-18
4,"The portion is huge for 1 person, it could be a little smaller and the price would be lower because it's inedible :) :)
Which doesn't change the fact that it was delicious :) :)
Delicious cider and well-chilled beer as well. To start with, quite a large snack. :) 
The service was nice, especially the tall blonde lady, she didn't serve us but you can hear her serving others :) :) ",Pride,"Warsaw, Poland",Warsaw,paulinach321,2020-02-17
3,"There was a lot of different baked potatoes to choose from here. Me and my partner ordered a vegetarian one and it was ok.
An extra plus for the little treat they offered as an appetizer.
",Lots of potatoes,"Kungsbacka, Sweden",Kungsbacka,Tirre74,2020-02-14
5,"Visited seven eateries in Gdansk, this was the only one I liked. Been here three times. They have potato pancakes and baked potatoes as a specialty. I had Gypsy and Mexicana potato pancakes, both really good, they cost 34 zl. The baked potato is good too but preferred the pancakes. Today's soup is a highlight. A 0.5 liter draft beer costs 12 zl.
Try 4 season tea, big glass with tea and fruit, very good.
When there are a lot of people, the waitresses avoid seeing you, very annoying. Go to the checkout and pay otherwise it may take time.
They have Wi-Fi. The toilet is clean and fresh.",Best place I ate in Gdansk,"Gothenburg, Sweden",Gothenburg,nkarlsson,2020-02-12
5,"Exquisite cuisine, always fresh products, prepared with great care. The whole thing is 5+, the service deserves big tips, but the cook deserves even bigger tips. The place is perfect for history lovers.","Perfect place for lunch, dinner, beer :)",,,F6627FNmartaf,2020-02-11
5,"I recommend I recommend I recommend!!! I came across ""Pod rybę"" on the recommendation of a friend and I recommend it to others, because baked potatoes with any salad you can dream of is an indescribable taste experience :)",I recommend I recommend I recommend!!!,"Kostrzyn nad Odra, Poland",Kostrzyn nad Odra,IzabelaS1981,2020-02-05
4,"Cozy atmosphere, nice staff, best baked potato I've ever eaten!
Big portions, lots of delicious filling!
Highly recommended!",Fantastically good food!,"Karlshamn, Sweden",Karlshamn,lindabergh85,2020-01-25
4,"I had never tried crêpes made from potato, and this restaurant made this a very good experience!

The atmosphere is good and the servants where really always smiling (as per there policy).

If you are there you must also try there hot chocolat!","Good pancakes, potato pancakes.","Lyon, France",Lyon,LucasGgn,2020-01-15
4,"Very tasty potatoes and very big. The caffee was good as well. 
The only problem was we were told to go to the underground floor because there were very few floors, and to get there you have to go out and enter thru a different door. It’s basically not connected. And they have no idea of how is the other floor doing, so when we got there it was super crowded and you could barely walk/move. The staff was incredibly rude and we were ignored not only before, but also while trying to talk to the guy behind the counter. He gave us short and rude answer with barely looking at us. 
So we went upstairs again, and this time was even more full so we got the last table which was in a pretty awkward place. Anyways, before our food was served someone else left and we could take their place. 
",Very tasty potatoes and very,"Boras, Sweden",Boras,M1R14M,2020-01-14
4,A cozy place where you can eat delicious potatoes with selected additions. I also recommend choosing potato pancakes. Drink sour milk. I recommend!,Late lunch,"Wodzislaw Slaski, Poland",Wodzislaw Slaski,izoldasz,2020-01-07
2,"We have been going to this restaurant for years, before it was moved to Piwna! Yesterday we went again, a big disappointment, the service in the upper room was very, very unpleasant, the waitress with a terrible face barely replied that there were no seats and it wouldn't be there for a long time, in fact she could have said ""go away"" because that's what it sounded like. Downstairs, two gentlemen, quite nice and funny but very clumsy, we got drinks halfway through the ride, after about 40 minutes, each at a different time: a cola, a beer and 2 teas, it's probably nothing complicated. I didn't ask for an extra plate, there was no cutlery, I only got a fork. Potatoes: stuffing ok, but has dropped significantly from the level it was once served, potato overcooked... ",We go to this restaurant often,"Gdansk, Poland",Gdansk,malgorzaata23,2020-01-05
4,Tasty baked potatoes that cost less than the average lunch restaurants. Service is good but not very heartfull.,Good baked potatoes for quite low price,Sweden,Sweden,LyndonSJohnson,2020-01-01
4,Got here for some baked potatoes and did not dissapoint. Food came pretty quick and was tasteful. Main food here are baked potatoes which cost 20-30 depending on the fillings.,Quick and delicious lunch,,,kalleny1993,2019-12-27
4,"It wasn't the first time we visited this place. This proves that we liked it. And so this time the Gypsy cake was very tasty. Potato with Hungarian sausage, spicy but very good. Potato is also healthy. One star less for service. Unfortunately, the girls looked like what am I doing here and had an unpleasant tone. I think that this is not a problem only for this place, but it can reduce the overall quality and have a negative impact. ",Food ok,,,390ewam,2019-12-26
5,"Friendly service and tasty dishes. The portion sizes were generous, but such that a hungry adult could eat. A lot of choice, and a great price-quality ratio. Two drinks and food cost about 12 euros. The food was really delicious, I would come again.",Friendly service and tasty,,,juulijokinen,2019-12-19
5,"Cozy restaurant - it is a good idea to reserve a table, as many go in vain. The menu consists of potatoes and potato pancakes with SUPER delicious filling. ",Delicious potatoes,"Viborg, Denmark",Viborg,ek2207,2019-12-13
5,"First of all, we had best porter beers in Gdansk. My wife had jacked potato big enough for two and my cheese-filled potato pancake filled my ""small"" belly for the rest of a day. Do not miss this place when in Gdansk. 10 points👍",Nammmmmm......,"Vantaa, Finland",Vantaa,741hannuk,2019-12-06
1,"Appalling disgusting horrible meal !! Terrible. Ordered something called Ola's chicken which was described on the menu as roast chicken breast and pepper with vegetables. 
When it arrived the potato contained 80% peas 15% carrots 2% unknown and 3% chicken !!! There was no pepper and the chicken was two tiniest of pieces of meat that were minuscule. To describe this meal as Ola's ""chicken"" was totally inappropriate. 
NOT NICE !!! When I complained about lack of chicken they said and did NOTHING.
Bad customer care.",Ola's chicken(less) potato,,,761karind,2019-12-03
5,"I have been a customer for over 20 years, even in the old location. Potatoes are very tasty, but for years I have always had the same set with ham salad and previously a mix of devil's and dill sauces. Unfortunately, after the changes, it became Mexican. Buttermilk is a must. Among the cool changes, I recommend the ice box (very good).",The best oven-baked potato.,"Szczecin, Poland",Szczecin,75skala,2019-11-29
5,"Delicous vegetarian potato cakes woth vegetables: carrot, cukinia, asparagus beans, coliflower, and broccoli. Additional salata. And decoration. Dreat",Delicous vegetarian potato cakes :),,,dominikaspojda,2019-11-25
5,"Delicious fish dish, huge and filling portions. The only minus of the dish (salmon with fries and salad) - a restaurant that serves dishes mainly from fish and potatoes, and does not make its own fries, only buy them... I think that for this price and in a restaurant where baked potatoes are served, they should be handmade fries. I can make it at home from a grocery bag :-) Baked potatoes and fish - very delicious!",A unique place,"Krakow, Poland",Krakow,444justynaj,2019-11-19
5,A super original idea for potato dishes. Everything delicious and fresh. Very nice and efficient service. A bit too little space for me.,A very nice place with an original idea,"Warsaw, Poland",Warsaw,michalsz94,2019-11-12
5,Got 3 different baked potatoes with filling and a potato pancake. Everything was just perfect. We can come back to this at another time.,Excellent eatery,"Frederikshavn, Denmark",Frederikshavn,93s_renj,2019-11-08
